1,2028,Ec-h
1,2043,Ct-t
1,2053,Ct-t
1,2063,Ct-t
1,2068,Ct-h
2,2023,Ec-h
2,2046,Qr-h
2,2050,Qr-h
2,2060,Qr-t
2,2068,Qr-t
3,2027,Ec-h
3,2038,Ec-h
3,2049,Ec-h
3,2060,Ec-h
4,2042,Pb-t
4,2057,Pb-h
5,2042,Pb-t
5,2052,Pb-t
5,2067,Pb-h
6,2024,Ec-h
6,2047,Qr-h
6,2051,Qr-t
6,2061,Qr-t
6,2069,Qr-t
7,2024,Ec-h
7,2034,Ec-h
7,2044,Ec-h
7,2054,Ec-h
7,2064,Ec-h
8,2037,Pb-t
8,2047,Pb-h
9,2049,Sb-t
9,2059,Sb-t
9,2068,Sb-t
10,2029,Ec-h
10,2039,Ec-h
10,2049,Ec-h
10,2059,Ec-h
10,2069,Ec-h
11,2048,Pb-t
11,2063,Pb-h
12,2026,Ec-h
12,2056,Sb-t
12,2066,Sb-t
13,2028,Pb-t
13,2038,Pb-t
13,2048,Pb-h
14,2026,Ec-h
14,2056,Sb-t
14,2066,Sb-t
15,2026,Ec-h
15,2038,Ec-h
15,2050,Ec-h
15,2062,Ec-h
19,2029,Ec-h
19,2041,Ec-h
19,2053,Ec-h
19,2065,Ec-h
20,2029,Ec-h
20,2041,Ec-h
20,2053,Ec-h
20,2065,Ec-h
21,2028,Ec-h
21,2040,Ec-h
21,2052,Ec-h
21,2064,Ec-h
22,2027,Ec-h
22,2057,Sb-t
22,2067,Sb-t
23,2025,Ec-h
23,2037,Ec-h
23,2049,Ec-h
23,2061,Ec-h
24,2025,Ec-h
24,2055,Sb-t
24,2065,Sb-t
25,2028,Ec-h
25,2058,Sb-t
25,2068,Sb-t
27,2033,Pb-t
27,2043,Pb-t
27,2053,Pb-t
27,2068,Pb-h
28,2031,Ec-h
28,2043,Ec-h
28,2055,Ec-h
28,2067,Ec-h
29,2044,Pb-t
29,2054,Pb-h
30,2026,Ec-h
30,2056,Sb-t
30,2066,Sb-t
31,2025,Ec-h
31,2048,Qr-h
31,2052,Qr-t
31,2062,Qr-t
32,2049,Sb-t
32,2059,Sb-t
32,2068,Sb-t
33,2037,Pb-t
33,2047,Pb-t
33,2057,Pb-h
34,2024,Ec-h
34,2035,Ec-h
34,2046,Ec-h
34,2057,Ec-h
34,2068,Ec-h
35,2033,Pb-t
35,2043,Pb-t
35,2058,Pb-h
37,2024,Ec-h
37,2036,Ec-h
37,2048,Ec-h
37,2060,Ec-h
38,2026,Ec-h
38,2049,Qr-h
38,2053,Qr-t
38,2066,Qr-h
39,2028,Ec-h
39,2063,Ct-t
40,2022,Ec-h
40,2034,Ec-h
40,2046,Ec-h
40,2058,Ec-h
41,2021,Ec-h
41,2036,Ct-t
41,2046,Ct-t
41,2056,Ct-t
42,2028,Ec-h
42,2039,Ec-h
42,2050,Ec-h
42,2061,Ec-h
43,2034,Pb-t
43,2044,Pb-t
43,2054,Pb-t
43,2069,Pb-h
45,2028,Ec-h
45,2039,Ec-h
45,2050,Ec-h
45,2061,Ec-h
46,2029,Ec-h
46,2041,Ec-h
46,2053,Ec-h
46,2065,Ec-h
48,2029,Ec-h
48,2041,Ec-h
48,2053,Ec-h
48,2065,Ec-h
49,2024,Ec-h
49,2035,Ec-h
49,2046,Ec-h
49,2057,Ec-h
49,2068,Ec-h
50,2029,Ec-h
50,2041,Ec-h
50,2053,Ec-h
50,2065,Ec-h
51,2026,Ec-h
51,2056,Sb-t
51,2066,Sb-t
52,2025,Ec-h
52,2055,Sb-t
52,2065,Sb-t
53,2023,Ec-h
53,2053,Sb-t
53,2063,Sb-t
54,2029,Ec-h
54,2041,Ec-h
54,2053,Ec-h
54,2065,Ec-h
55,2027,Ec-h
55,2038,Ec-h
55,2049,Ec-h
55,2060,Ec-h
56,2025,Ec-h
56,2036,Ec-h
56,2047,Ec-h
56,2058,Ec-h
56,2069,Ec-h
57,2025,Pb-t
57,2035,Pb-t
57,2045,Pb-t
57,2060,Pb-h
58,2044,Pb-t
58,2054,Pb-t
58,2069,Pb-h
59,2039,Pb-t
59,2049,Pb-t
59,2059,Pb-h
60,2025,Ec-h
60,2048,Qr-h
60,2052,Qr-t
60,2062,Qr-t
61,2030,Pb-h
61,2055,Pb-t
62,2049,Sb-t
62,2059,Sb-t
62,2068,Sb-t
63,2054,Pb-t
63,2064,Pb-h
64,2026,Ec-h
64,2038,Ec-h
64,2050,Ec-h
64,2062,Ec-h
66,2052,Pb-h
67,2026,Ec-h
67,2041,Ct-t
67,2051,Ct-t
67,2061,Ct-t
68,2029,Ec-h
68,2041,Ec-h
68,2053,Ec-h
68,2065,Ec-h
69,2034,Pb-t
69,2044,Pb-t
69,2054,Pb-t
69,2064,Pb-h
70,2059,Pb-h
71,2059,Pb-h
72,2026,Pb-h
72,2061,Pb-h
73,2048,Pb-h
74,2029,Ec-h
74,2041,Ec-h
74,2053,Ec-h
74,2065,Ec-h
77,2044,Pb-t
77,2054,Pb-t
77,2069,Pb-h
78,2034,Pb-t
78,2044,Pb-t
78,2054,Pb-t
78,2064,Pb-h
79,2023,Ec-h
79,2034,Ec-h
79,2045,Ec-h
79,2056,Ec-h
79,2067,Ec-h
80,2034,Pb-t
80,2044,Pb-t
80,2054,Pb-t
80,2069,Pb-h
81,2044,Pb-t
81,2054,Pb-t
81,2069,Pb-h
83,2024,Ec-h
83,2036,Ec-h
83,2048,Ec-h
83,2060,Ec-h
84,2024,Ec-h
84,2047,Qr-h
84,2051,Qr-t
84,2061,Qr-t
85,2025,Ec-h
85,2040,Ct-t
85,2050,Ct-t
85,2060,Ct-t
86,2049,Sb-t
86,2059,Sb-t
86,2068,Sb-t
87,2042,Qr-h
87,2046,Qr-t
87,2056,Qr-t
87,2064,Qr-t
88,2026,Ec-h
88,2037,Ec-h
88,2048,Ec-h
88,2059,Ec-h
89,2026,Ec-h
89,2038,Ec-h
89,2050,Ec-h
89,2062,Ec-h
90,2049,Sb-t
90,2059,Sb-t
90,2068,Sb-t
91,2026,Ec-h
91,2038,Ec-h
91,2050,Ec-h
91,2062,Ec-h
92,2025,Ec-h
92,2036,Ec-h
92,2047,Ec-h
92,2058,Ec-h
92,2069,Ec-h
93,2034,Pb-t
93,2044,Pb-t
93,2054,Pb-t
93,2069,Pb-h
94,2024,Ec-h
94,2047,Qr-h
94,2051,Qr-t
94,2061,Qr-t
94,2069,Qr-t
95,2021,Ec-h
95,2051,Ct-t
95,2061,Ct-t
95,2066,Ct-h
96,2028,Ec-h
96,2039,Ec-h
96,2050,Ec-h
96,2061,Ec-h
97,2027,Ec-h
97,2057,Ct-t
97,2067,Ct-h
98,2029,Ec-h
98,2041,Ec-h
98,2053,Ec-h
98,2065,Ec-h
99,2028,Ec-h
99,2051,Qr-h
99,2055,Qr-t
99,2065,Qr-t
100,2029,Ec-h
100,2041,Ec-h
100,2053,Ec-h
100,2065,Ec-h
101,2044,Pb-t
101,2054,Pb-t
101,2069,Pb-h
102,2039,Pb-t
102,2049,Pb-t
102,2064,Pb-h
103,2044,Pb-t
103,2054,Pb-t
103,2069,Pb-h
104,2034,Pb-t
104,2044,Pb-t
104,2054,Pb-t
104,2069,Pb-h
105,2022,Ec-h
105,2033,Ec-h
105,2044,Ec-h
105,2055,Ec-h
105,2066,Ec-h
106,2029,Ec-h
106,2041,Ec-h
106,2053,Ec-h
106,2065,Ec-h
107,2028,Ec-h
107,2039,Ec-h
107,2050,Ec-h
107,2061,Ec-h
108,2028,Ec-h
108,2039,Ec-h
108,2050,Ec-h
108,2061,Ec-h
109,2042,Pb-t
109,2052,Pb-t
109,2067,Pb-h
110,2028,Ec-h
110,2058,Ct-t
110,2068,Ct-t
111,2054,Pb-t
111,2069,Pb-h
112,2049,Sb-t
112,2059,Sb-t
112,2068,Sb-t
113,2029,Ec-h
113,2052,Qr-h
113,2056,Qr-t
113,2066,Qr-t
114,2023,Ec-h
114,2034,Ec-h
114,2045,Ec-h
